ID,Restaurant Name,Review,Address,Phone Number,Years in Business, Website Link,Email Address,General Information,Time(in Hour),Payment Methods,Category,Services/Products,Neighborhood,Banner Link,Other Information
11,La  Pizzeria Arrivederci,(1 Review),"3789 4th Ave, San Diego, CA 92103",(619) 430-4471,24,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1559895210806.983db5bf&ADID=11895205&DEST=http%3A%2F%2Farrivederciristorante1.mydex.com%2Fe_eM8z1jqEY&C=Pizza&T=San%20Diego&S=CA&PH=(619)%20430-4471&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=983db5bf-22ae-40e4-987b-bd9e41afb501&REF=&IP=103.250.188.75&UserAgent=python-requests%2F2.22.0; https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1559895210826.983db5bf&ADID=11895205&DEST=http%3A%2F%2Farrivederciristorante1.mydex.com%2Fe_eM8z1jqEY&C=Pizza&T=San%20Diego&S=CA&PH=(619)%20430-4471&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=983db5bf-22ae-40e4-987b-bd9e41afb501&REF=&IP=103.250.188.75&UserAgent=python-requests%2F2.22.0; http://www.arrivederciristorante.com; ,arrivedercipizzeriahillcrest@gmail.com; ,"San Diegos best authentic Italian restaurant located in Hillcrest, Rancho San Diego. Homemade Italian cuisine with daily specials. Nuova cucina Italiana.",Mon - Thu: 5:00 pm - 10:00 pm; Fri - Sat: 11:30 am - 11:00 pm; Sun: 11:30 am - 10:00 pm; ,"amex, cash, discover, master card, visa","Pizza, Italian Grocery Stores, Italian Restaurants, Restaurants ",Supreme Pizza|Thin Crust Pizza|Olive Oil|Sicilian Pizza|Pizza|Soft Drinks|Vegetarian Pizza|Wood Fired Pizza|Hand Tossed Pizza|Gluten Free Pizza|Red Pizza|Appetizers|Breadsticks|Margherita Pizza|Gourmet Pizza|Stuffed Pizza|Alcoholic Beverages|Pan Pizza|Salads|Drinks|Italian Pizza||Italian Cuisine|Italian Foods|Pizza Takeout|Casual Dining|Family Friendly|Dine In|Full Bar|Parking|Take Out|Phone Orders|Italian Restaurant|Pizza Restaurant,"Hillcrest, Western San Diego",,"Parking: Street;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Italian, European, Continental, Pizza;Alcohol: Beer, Wine;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;"
12,Solunto Ristorante & Bakery,(0 Review),"1643 India St, San Diego, CA 92101",(619) 220-2358,,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1559895213281.0f9fa43a&ADID=11914313&DEST=http%3A%2F%2Fsoluntoristoranteandbakery1.mydex.com%2FjZl6dVVI8Gg&C=Bakeries&T=San%20Diego&S=CA&PH=(619)%20220-2358&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=0f9fa43a-2d22-4956-838c-dc7cdef62ce5&REF=&IP=103.250.188.75&UserAgent=python-requests%2F2.22.0; https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1559895213306.0f9fa43a&ADID=11914313&DEST=http%3A%2F%2Fsoluntoristoranteandbakery1.mydex.com%2FjZl6dVVI8Gg&C=Bakeries&T=San%20Diego&S=CA&PH=(619)%20220-2358&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=0f9fa43a-2d22-4956-838c-dc7cdef62ce5&REF=&IP=103.250.188.75&UserAgent=python-requests%2F2.22.0; https://www.arrivederciristorante.com; ,solunto_littleitaly@hotmail.com; ,"Italian Cuisine & Pizzeria, appetizers, saladsItalian Cuisine & Pizzeria, appetizers, saladsItalian Cuisine & Pizzeria, appetizers, salads",Mon - Sat: 9:00 am - 10:00 pm; Sun: 9:00 am - 11:00 pm; ,"amex, cash, debit, discover, master card, visa","Bakeries, Italian Restaurants, Pizza, Pizza-Wholesale & Manufacturers, Restaurants ",Beer|Hand Tossed Pizza|Tuscan Cuisine|Appetizers|Vegetarian Foods|Healthy & Vegetarian Menus|Calzones|Salad Bars|Supreme Pizza|Salads|Baked Goods & Desserts|Alcoholic Beverages|Salad Bars|Breadsticks|Wine|Homemade Pizza|Spaghetti|Sicilian Pizza|Pasta|Custom Menus|Double Crust Pizza|Gourmet Foods|Stromboli|Appetizers|Sandwiches||Bar|Private Dining|Reservations|Family Friendly|Parking|Take Out|Phone Orders|Dine In,"Little Italy, Central San Diego",,"Cuisines: Italian, European, Continental;Cuisine: Italian, European, Ice Cream, Continental, Pizza;Price Range : Average;"
13,Anthony's Fish Grotto,(8 Reviews),"1360 N Harbor Dr, San Diego, CA 92101",(619) 232-5103,73,http://www.gofishanthonys.com; http://www.gofishanthonys.com; http://www.starofthesea.com; ,,"Our delicious food, casual atmosphere and friendly home-style service will quickly make Anthonys Fish Grotto your favorite San Diego seafood restaurant.",Mon - Thu: 11:00 am - 9:30 pm; Fri - Sat: 11:00 am - 10:00 pm; Sun: 11:00 am - 9:30 pm; ,"amex, visa, discover, cash, diners club, master card","Take Out Restaurants, American Restaurants, Banquet Halls & Reception Facilities, Bar & Grills, Family Style Restaurants, Party Planning, Restaurants, Seafood Restaurants, Wedding Reception Locations & Services, Wedding Supplies & Services ",,"Central San Diego, Marina",,"Cuisines: American, Family Style, Take Out, Seafood, Bar & Grills;"
14,Soleil @K,(8 Reviews),"660 K St, San Diego, CA 92101",(619) 696-0234,13,http://www.sandiegogaslamphotel.com/dining/soleil; http://www.sandiegogaslamphotel.com/dining/soleil; http://www.soleilatk.com; https://www.sandiegogaslamphotel.com/m/dining; ,,"Breakfast 6:30am - 11:00am (Daily), Lunch 12;00pm - 1:30pm (Daily), Dinner 5:30pm - 9:00pm (Sunday through Thursday), Dinner 5:30pm - 10:00pm (Friday and Saturday)",Mon - Sun: 7:00 am - 9:00 pm; ,discover,"American Restaurants, Bar & Grills, Bars, Breakfast, Brunch & Lunch Restaurants, Cocktail Lounges, Fine Dining Restaurants, French Restaurants, Restaurants, Take Out Restaurants, Tapas ","Fresh and Local Products, California Cuisine, Casually Elegant, Award Winning, Plush Leather Booths, Patio Seating, Rotating Seasonal Specials","East Village, Central San Diego",,"Parking: Garage, Street, Validated, Valet;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Good For Groups: Yes;Wheelchair Accessible: Yes;Cuisines: Fine Dining, American, French, Take Out, Breakfast, Brunch & Lunch, European, Tapas, Continental, Bar & Grills;Alcohol: Yes, Full Bar, Wine;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;"
15,On The Border Mexican Grill & Cantina,(3 Reviews),"1770 Camino De La Reina, San Diego, CA 92108",(619) 209-3700,37,http://www.ontheborder.com; http://www.ontheborder.com; ,AlmquistB@brinker.com; ,,Mon - Thu: 11:00 am - 11:00 pm; Fri: 11:00 am - 12:00 am; Sat: 10:00 am - 12:00 am; Sun: 10:00 am - 11:00 pm; ,"amex, discover, visa, mastercard, diners club, all major credit cards","Mexican Restaurants, Bar & Grills, Bars, Family Style Restaurants, Restaurants, Take Out Restaurants ",Beer|Border Smart|Brunch|Burritos|Carne Asada|Catering|Chile Rellenos|Chimichangas|Delivery|Dine-in|Empanadas|Enchilada Mondays|Enchiladas|Fajita & Rita Wednesdays|Fajitas|Flan|Flautas|Guacamole|Happy Hour|Late Night|Margaritas|Meltdowns|Nachos|Quesadillas|Queso|Salads|Sopapillas|Soup|Taco Fix Tuesday|Tacos|Tamales|To Go|Tortas|Tostadas|Wine|,"Mission Valley East, Eastern San Diego",,"Parking: Street, Lot, Private;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Mexican, Latin American;Alcohol: Beer, Full Bar, Wine;Takes Reservations: Yes;Outdoor Seating: Yes;Specialties: Tacos, Queso, Free Chips & Salsa, Friendly Service, Meltdowns, Margaritas, Sizzling Fajitas;Price Range : Below Average;"
16,94th Aero Squadron,(7 Reviews),"8885 Balboa Ave, San Diego, CA 92123",(858) 560-6771,45,http://www.94thsandiego.com; http://www.94thsandiego.com; ,,"For over 30 years, one of San Diego's landmark dining destinations and one of the most unique and memorable restaurants you will ever find. Located inside a replica of a World War I French farmhouse decorated with fascinating military memorabilia, antiques, and aviation relics, the restaurant overlooks Montgomery Field Airport, and has a cozy and romantic ambiance, with large stone fireplaces intimate booths, and beautiful views.  The extensive menu features mid-western aged beef and the freshest seafood.  Here you will find USDA Choice & Prime Beef steaks, slow-roasted Angus prime rib, succulent lobster tail,  fresh fish, rack of lamb, veal, chicken, pasta dishes, and fabulous desserts.  Their famous Champagne Brunch is currently the #1 Sunday Brunch in the city on AOL's CityGuide poll and is not to be missed.  Beautiful outdoor patios, a very popular Happy Hour, and excellent banquet facilities help make the 94th Aero Squadron one of the great dining experiences in all of San Diego.",Mon - Thu: 11:00 am - 9:00 pm; Fri: 11:00 am - 11:00 pm; Sat: 4:00 pm - 10:00 pm; Sun: 4:00 pm - 9:00 pm; ,"mastercard, discover","American Restaurants, Banquet Halls & Reception Facilities, Cocktail Lounges, Party Planning, Restaurant Menus, Restaurants, Steak Houses, Wedding Reception Locations & Services, Wedding Supplies & Services ",Banquet Rooms Restaurants,"Kearny Mesa, Eastern San Diego",,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: No;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: American, Steakhouse;Alcohol: Full Bar;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;"
17,The Butcher Shop,(3 Reviews),"5255 Kearny Villa Rd, San Diego, CA 92123",(858) 565-2272,21,http://www.butchershopsandiego.com; http://www.butchershopsandiego.com; ,Mashour@butchershopsteakhouse.com; ,"Butcher Shop Steakhouse has been owned and operated by International Aero Clubs since 1998. Modeled after Chicago-style steakhouses, it features a variety of steaks and chops charbroiled on a mesquite grill. The restaurant s menu also includes veal and chicken dishes, Australian-style lobster tail, king crab legs and shrimp. It also serves a selection of appetizers, soups, salads, sandwiches, entrees, seafood and pasta. Butcher Shop Steakhouse s bar offers cigars and several types of wines, such as chardonnay, white zinfandel, cabernet sauvignon, merlot, pinot grigio, sauvignon blanc, Shiraz, Chianti and pinot noir. It has a seating capacity of up to 200 people and organizes several special events, including wedding rehearsal dinners, receptions, corporate events, board meetings, private parties and family gatherings. Butcher Shop Steakhouse is located in San Diego.",Mon - Fri: 11:00 am - 9:30 pm; Sat: 4:00 pm - 10:30 pm; Sun: 4:00 pm - 9:30 pm; ,"amex, discover, master card, visa, diners club, all major credit cards","Steak Houses, American Restaurants, Banquet Halls & Reception Facilities, Bar & Grills, Caterers, Family Style Restaurants, Restaurants, Seafood Restaurants ",Meetings|Receptions|Restaurants|Wedding Ceremonies|Weddings|,"Kearny Mesa, Eastern San Diego",,"Good For Groups: Yes;Cuisines: Caterers, American, Family Style, Seafood, Steakhouse, Bar & Grills;Alcohol: Yes, Full Bar, Wine;Specialties: American Restaurant, Holiday Parties, Cocktail Parties, Weddings, Cocktails, Patriotic, American Food, Club Events, American, Parks, Bridal Events, Wedding Events, Restaurants / Cafes;Price Range : Average;"
18,Athens Market Cafe,(1 Review),"11640 Carmel Mountain Rd, San Diego, CA 92128",(858) 675-2225,25,http://www.athensmarketcafe.com; http://www.athensmarketcafe.com; ,,,Mon - Sun: 11:00 am - 9:00 pm; ,"visa, amex, mastercard, discover","American Restaurants, Caterers, Greek Restaurants, Mediterranean Restaurants, Restaurants ",,"Carmel Mountain, Northeastern San Diego",,"Cuisines: Mediterranean, Caterers, Greek, American, European, Continental;Attire: Casual;Wi-Fi: Free;Bike Parking: Yes;Wheelchair Accessible: Yes;Parking: Lot, Private;Outdoor Seating: Yes;Takes Reservations: Yes;"
19,World Famous,(14 Reviews),"711 Pacific Beach Dr, San Diego, CA 92109",(858) 272-3100,49,http://www.worldfamouspb.com; http://www.worldfamouspb.com; ,manager@worldfamouspb.com; worldfamous@san.rr.com; ,"World Famous is a full-service restaurant that serves contemporary California cuisine. It specializes in seafood and hand-cut steak items. The restaurant s menu includes salads, soups, sandwiches and pasta dishes. It also serves omelets, tortillas and French toast. World Famous features a main room, patio and bar. The restaurant additionally serves beverages and its wine list includes chardonnay, sauvignon blanc, riesling, pinot grigio, merlot, zinfandel and shiraz. World Famous is located in San Diego.",Mon - Sun: 7:00 am - 11:00 pm; ,"visa, discover, mastercard, amex","Seafood Restaurants, American Restaurants, Bars, Breakfast, Brunch & Lunch Restaurants, Night Clubs, Restaurants, Taverns ",,"Mission Beach, Northern San Diego, Pacific Beach",,"Parking: Street, Validated, Valet;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: American, Breakfast, Brunch & Lunch, Seafood;Alcohol: Full Bar;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;"
20,Mimi's Cafe,(4 Reviews),"10788 Westview Pkwy, San Diego, CA 92126",(858) 566-6667,41,http://www.mimiscafe.com; http://www.mimiscafe.com; ,,"Mimi's is a beloved neighborhood cafe known for indulgent breakfast and brunch with signature ""Mimi-mosas"" and seasonal muffins, French-American ""Le Duet"" lunch combos and dinners like ""Steak Frites"" with thin hand-cut Russet potatoes and Grilled Atlantic Salmon. House wine from France is on offer for $5 a glass and $20 a bottle. For Birthday parties, Mimi's gives a free Birthday Cake to parties of 8 or more.",Mon - Thu: 7:00 am - 9:00 pm; Fri - Sat: 7:00 am - 10:00 pm; Sun: 7:00 am - 9:00 pm; ,"master card, visa, all major credit cards, amex, cash, discover","American Restaurants, Breakfast, Brunch & Lunch Restaurants, Restaurants ",,"Mira Mesa, Northeastern San Diego",,"Parking: Lot, Private;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: American, Breakfast, Brunch & Lunch;Alcohol: Beer, Wine;Takes Reservations: Yes;Outdoor Seating: No;Price Range : Average;"
21,Firehouse American Eatery and Lounge,(10 Reviews),"722 Grand Ave, San Diego, CA 92109",(858) 274-3100,13,http://firehousepb.com; http://firehousepb.com; ,Chelsea@firehousepb.com; ,"FIREHOUSE AMERICAN EATERY + LOUNGE is an eating establishment in the state of California. The restaurant serves a variety of snacks, appetizers, soups, salads, and wines and beverages. It offers Caesar, Mediterranean and baby spinach salads. The restaurants  snacks include steamed mussels, nachos, crab cakes, chicken strips and cheese fondues.",Mon - Wed: 10:00 am - 12:00 am; Thu - Fri: 10:00 am - 2:00 am; Sat: 9:00 am - 2:00 am; Sun: 10:00 am - 12:00 am; ,"all major credit cards, amex, discover, master card, visa","American Restaurants, Bars, Breakfast, Brunch & Lunch Restaurants, Cocktail Lounges, Family Style Restaurants, Night Clubs, Restaurants, Seafood Restaurants, Take Out Restaurants, Taverns ",,"Pacific Beach, Northern San Diego",,"Parking: Street, Lot, Valet, Private;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Family Style, American, Take Out, Breakfast, Brunch & Lunch, Seafood;Alcohol: Full Bar;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;Pets Allowed: No;Good For Groups: Yes;"
22,The Broken Yolk Cafe,(1 Review),"1760 Camino Del Rio N, San Diego, CA 92108",(619) 574-9655,6,https://www.thebrokenyolkcafe.com/mission-valley; https://www.thebrokenyolkcafe.com/mission-valley; ,missionvalley@thebrokenyolkcafe.com; ,"When it comes to breakfast and brunch in Mission Valley, the Broken Yolk Cafe is the perfect place to start your morning. Dishing out huge portions of all the breakfast classics, as well as Mexican-style favorites like Baja Breakfast Tacos and carne asada Border Benedict, the Broken Yolk is one of the best San Diego breakfast restaurants!",Mon - Sun: 6:00 am - 3:00 pm; ,"all major credit cards, master card, visa","American Restaurants, Breakfast, Brunch & Lunch Restaurants, Restaurants ",,"Mission Valley East, Eastern San Diego",,"Parking: Lot, Private;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Cuisines: Omelets;Alcohol: Beer, Wine;Takes Reservations: No;Outdoor Seating: Yes;Price Range : Average;"
23,Baci Restaurant,(4 Reviews),"1955 Morena Blvd, San Diego, CA 92110",(619) 275-2094,40,http://www.sandiegobaci.com/menus.php; http://www.sandiegobaci.com/menus.php; ,info@sandiegobaci.com; Tony@bacicucina.com; ,,Mon - Fri: 11:30 am - 9:30 pm; Sat: 5:30 pm - 10:00 pm; Sun Closed; ,discover,"Italian Restaurants, Banquet Halls & Reception Facilities, Continental Restaurants, Mediterranean Restaurants, Restaurants, Seafood Restaurants ",,"Bay Park, Northern San Diego",,"Parking: Street, Lot, Private;Wi-Fi: No;Bike Parking: Yes;Attire: Dressy;Wheelchair Accessible: Yes;Cuisines: Mediterranean, Italian, European, Seafood, Continental;Alcohol: Full Bar;Takes Reservations: Yes;Outdoor Seating: No;"
24,Joe's Crab Shack,(4 Reviews),"525 E Harbor Dr, San Diego, CA 92101",(619) 233-7391,28,http://www.joescrabshack.com/locations/10173; http://www.joescrabshack.com/locations/10173; https://www.joescrabshack.com/menu/food; ,socialmedia@joescs.com; ,"Joe's Crab Shack serves seafood and creative cocktails with Southern coastal flair to locations all across America. Joe's menu features fried shrimp platters, signature fish entrÃ©es, and renowned steam pots",Mon - Thu: 11:00 am - 10:00 pm; Fri - Sat: 11:00 am - 11:00 pm; Sun: 11:00 am - 10:00 pm; ,"amex, discover, master card, visa, cash, check, diners club, travelers checks","Seafood Restaurants, American Restaurants, Family Style Restaurants, Restaurants, Take Out Restaurants ",Crab|Group Parties|Seafood|Seafood Restaurant|Shrimp|,"Central San Diego, Marina",,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Good For Groups: Yes;Wheelchair Accessible: Yes;Cuisines: Family Style, Seafood;Alcohol: Beer, Full Bar, Wine;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;"
25,Carvers Steak & Chops,(3 Reviews),"11940 Bernardo Plaza Dr, San Diego, CA 92128",(858) 485-1262,16,http://www.carverssteak.com; http://www.carverssteak.com; http://www.carverssteak.com/bar.htm; ,info@carverssteak.com; ,"Carvers Steaks and Chops is a privately-owned, independently-operated restaurant. It offers a range of starters, including garlic cheese bread, Cajun lamb chops, crab cakes, calamari fritti, stuffed portobello mushroom, and spinach and artichoke dip. The restaurant also provides a variety of entr e dishes that includes shrimp scampi, Alaskan crab legs, New York strip, fillet mignon, porterhouse, grilled lamb chops and Chicago-cut rib eye. Additionally, it offers a range of wines that includes merlot, syrah, zinfandel, chardonnay, sauvignon blanc and cabernet sauvignon. Carvers Steaks and Chops is owned by T & M Restaurants and also offers catering services. The restaurant is located in San Diego.",Mon - Sun: 11:30 am - 9:00 pm; ,"visa, amex, mastercard, discover","Steak Houses, American Restaurants, Barbecue Restaurants, Caterers, Restaurants ",,"Rancho Bernardo, Northeastern San Diego",,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: No;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Caterers, Barbecue, American, Steakhouse;Alcohol: Full Bar;Takes Reservations: Yes;Outdoor Seating: No;Specialties: Banquets, Family Events, Restaurants, Community Functions, Family Functions;"
26,Luigi's At The Beach,(1 Review),"3210 Mission Blvd, San Diego, CA 92109",(858) 488-2818,34,http://www.luigisatthebeach.com; http://www.luigisatthebeach.com; ,GreatFood@LuigisAtTheBeach.com; ,"Luigi's At The Beach is a serves a variety of pizzas, beers and Italian-style cuisine. Established in 1985, the restaurant is family-owned and operated. It specializes in providing dine-in, takeout, delivery and catering services. Luigi's At The Beach also offers calzones, salads, burgers and hot sandwiches. The restaurant specializes in making pizza sauce and dough from scratch using a secret recipe of spices. Its entr e menu includes spaghetti, fettuccine and penne with mushroom, marinara and meat sauce. The restaurant also offers lasagnas, eggplant parmigiana and chicken picatta. In addition, it serves a variety of draft beer, cocktails and wines. Luigi's At The Beach is located in San Diego.",Mon - Thu: 11:00 am - 10:30 pm; Fri - Sat: 11:00 am - 11:00 pm; Sun: 11:00 am - 10:30 pm; ,"amex, discover, diners club","Italian Restaurants, American Restaurants, Hamburgers & Hot Dogs, Mediterranean Restaurants, Pizza, Restaurants, Sandwich Shops ",,"Mission Beach, Northern San Diego",,"Parking: Street;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Burgers, Mediterranean, American, Sandwiches, Hot Dogs, Italian, European, Continental, Pizza;Alcohol: Beer, Wine;Takes Reservations: No;Outdoor Seating: Yes;Price Range : Average;"
27,Uno Chicago Grill,(1 Review),"4465 Mission Blvd, San Diego, CA 92109",(858) 483-4143,,http://www.unos.com; http://www.unos.com; ,,,,,"Italian Restaurants, Bar & Grills, Pizza, Restaurants, Take Out Restaurants ",,"Pacific Beach, Northern San Diego",,"Alcohol: Beer, Wine;Cuisine: Italian, Bar Food, European, Continental, Pizza;"
28,The Mission Restaurant-Mission Beach,(0 Review),"3795 Mission Blvd, San Diego, CA 92109",(858) 488-9060,22,http://www.themissionsd.com; http://www.themissionsd.com; http://www.themissionsd.com/locations.html; ,,,Mon - Sun: 7:00 am - 3:00 pm; ,discover,"American Restaurants, Breakfast, Brunch & Lunch Restaurants, Health Food Restaurants, Restaurants, Vegan Restaurants, Vegetarian Restaurants ",,"Mission Beach, Northern San Diego",,"Parking: Street;Wi-Fi: No;Bike Parking: Yes;Cuisines: American, Breakfast, Brunch & Lunch, Healthy, Vegetarian, Vegan;Price Range : Average;"
29,Chronic Smoothies Blazin Gril,(0 Review),"865 Turquoise St, San Diego, CA 92109",(858) 488-2529,19,http://www.theblazingrill.com; http://www.theblazingrill.com; ,restaurant@theblazingrill.ie; ,,Mon - Fri: 9:00 am - 9:00 pm; Sat - Sun: 9:00 am - 10:00 pm; ,,"American Restaurants, Bar & Grills, Restaurants ",,"Pacific Beach, Northern San Diego",,"Parking: Lot, Free;Wheelchair Accessible: Yes;Price Range : Below Average;"
30,Cowboy Star,(6 Reviews),"640 10th Ave, San Diego, CA 92101",(619) 450-5880,11,http://www.thecowboystar.com; http://www.thecowboystar.com; https://www.thecowboystar.com; ,info@thecowboystar.com; ,"Cowboy Star is the first restaurant in San Diego’s East Village to serve up a unique dining experience by combining contemporary American cuisine with a western flare. Winner of the 2008 Orchid Award for Interior Design, the restaurant features exposed beam ceilings‚ cowboy accents‚ and classic landscape photography giving Cowboy Star a welcoming atmosphere where locals gravitate.A stunning display kitchen is the focal point of Cowboy Star, offering an insiders view of the action. The bar at Cowboy Star offers a stylish and cozy environment complete with large leather booths, a fireplace and hand-crafted cocktails. The Old West ambiance provides a laid-back and stylish background perfect for private parties and special events.",Mon: 5:00 pm - 10:00 pm; Tue - Thu: 10:30 am - 11:00 pm; Fri - Sat: 5:00 pm - 10:30 pm; Sun: 5:00 pm - 9:00 pm; ,"discover, mastercard, visa, amex","American Restaurants, Bar & Grills, Breakfast, Brunch & Lunch Restaurants, Restaurants, Steak Houses ",,"East Village, Central San Diego",,"Good For Groups: Yes;Cuisines: American, Breakfast, Brunch & Lunch, Steakhouse, Bar & Grills;Alcohol: Yes, No;"
31,Bronx Pizza,(27 Reviews),"111 Washington St, San Diego, CA 92103",(619) 291-3341,19,http://www.bronxpizza.com; http://www.bronxpizza.com; ,MGardner@bronxpizza.com; ,,Mon - Thu: 11:00 am - 10:00 pm; Fri - Sat: 11:00 am - 11:00 pm; Sun: 11:00 am - 10:00 pm; ,"cash only, no credit cards, amex, cash, discover, master card, paypal, visa","Pizza, American Restaurants, Fast Food Restaurants, Italian Restaurants, Restaurants ",,"Hillcrest, Western San Diego",,
32,Sushi Ota,(19 Reviews),"4529 Mission Bay Dr, San Diego, CA 92109",(858) 270-5670,29,http://sushiota.com; http://sushiota.com; ,,,Mon: 5:30 pm - 10:30 pm; Tue - Fri: 11:30 am - 10:30 pm; Sat - Sun: 5:00 pm - 10:30 pm; ,discover,"Sushi Bars, Asian Restaurants, Japanese Restaurants, Restaurants, Seafood Restaurants ",,"Pacific Beach, Northern San Diego",,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: No;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Japanese, Asian, Sushi, Seafood;Alcohol: Beer, Wine;Takes Reservations: Yes;Outdoor Seating: No;"
33,Hash House a Go Go,(19 Reviews),"3628 5th Ave, San Diego, CA 92103",(619) 298-4646,19,http://www.hashhouseagogo.com; http://www.hashhouseagogo.com; ,,"Hash House a go go is a full-service restaurant that provides a variety of food items and beverages for breakfast, lunch and dinner. The restaurant offers spinach, tomato, grilled salmon, Caesar and red leaf salads. It serves mushrooms, chicken breasts, goat cheese, chicken sandwiches, French toast, waffles, meat loaf and sausage for brunch. The restaurant also provides pasta dishes, crab cakes, beef, ribs and steaks. Hash House a go go has received the California Restaurant Association Best Breakfast 2007 Gold Medallion award. The restaurant offers turkey, mozzarella cheese, biscuits, pork and seasonal vegetables. Hash House has additionally received recognitions from various magazines and news channels for excellence in food services.",Mon: 7:30 am - 2:30 pm; Tue - Thu: 7:30 am - 9:00 pm; Fri - Sat: 7:30 am - 9:30 pm; Sun: 7:30 am - 9:00 pm; ,"amex, visa, discover, mastercard","Breakfast, Brunch & Lunch Restaurants, American Restaurants, Bar & Grills, Delicatessens, Family Style Restaurants, Restaurants ",,"Hillcrest, Western San Diego",,"Cuisines: Deli, Family Style, American, Breakfast, Brunch & Lunch, Bar & Grills;Price Range : Average;"
34,Pho Ca Dao Restaurant,(28 Reviews),"8373 Mira Mesa Blvd, San Diego, CA 92126",(858) 564-0917,18,http://phocadao.com; http://phocadao.com; http://phocadaogrill.com; ,phocadao@gmail.com; dukehuynh@nethere.com; ,,Mon - Thu: 8:00 am - 9:00 pm; Fri - Sat: 8:00 am - 9:30 pm; Sun: 8:00 am - 9:00 pm; ,all major credit cards,"Vietnamese Restaurants, Asian Restaurants, Family Style Restaurants, Restaurants ",,"Mira Mesa, Northeastern San Diego",,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Vietnamese, Asian, Family Style;Alcohol: Beer, Wine;Takes Reservations: Yes;Outdoor Seating: No;Price Range : Below Average;Pets Allowed: No;"
35,Urban Solace,(13 Reviews),"3823 30th St, San Diego, CA 92104",(619) 295-6464,13,http://www.urbansolace.net; http://www.urbansolace.net; ,comfortfood@urbansolace.net; ,,Mon - Thu: 11:00 am - 10:00 pm; Fri: 11:00 am - 11:00 pm; Sat: 10:30 am - 11:00 pm; Sun: 9:30 am - 9:00 pm; ,"amex, discover, master card, visa, all major credit cards","Delicatessens, Caterers, Family Style Restaurants, Restaurants ",,"North Park, Western San Diego",,"Parking: Garage, Street;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Good For Family: Yes;Good For Groups: Yes;Wheelchair Accessible: Yes;Cuisines: Deli, Caterers, Family Style;Alcohol: Full Bar, Wine;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;Pets Allowed: No;Good for Kids: Yes;"
36,Mediterranean Cafe,(30 Reviews),"112 W Washington St, San Diego, CA 92103",(619) 298-7738,24,http://www.medi-cafe.com; http://www.medi-cafe.com; ,,,Mon - Sun: 11:00 am - 9:00 pm; ,"visa, master card, amex, cash, debit","Greek Restaurants, Caterers, Mediterranean Restaurants, Restaurants, Vegetarian Restaurants ",,"Western San Diego, Hillcrest",,"Parking: Street;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Mediterranean, Caterers, Greek, European, Healthy, Vegetarian, Continental;Alcohol: Beer, Wine;Takes Reservations: Yes;Outdoor Seating: No;"
